Order;Family;Genus;OTU;Sum
Cryptofilida;Mesofilidae;Mesofilidae_X;Otu366;1700
Euglyphida;Trinematidae;Trinematidae_X;Otu367;1700
Glissomonadida;Glissomonadida_XX;Glissomonadida_XXX;Otu368;1698
Glissomonadida;Allapsidae;Allapsidae_X;Otu369;1688
Krakenida;Krakenidae;Kraken;Otu370;1683
Novel-Clade-12;NC12B_lineage;NC12B_lineage_X;Otu371;1682
Glissomonadida;Sandonidae;Sandona;Otu372;1678
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu373;1673
Cryomonadida;Protaspididae;Protaspididae_X;Otu374;1670
Glissomonadida;Sandonidae;Sandonidae_X;Otu375;1670
Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX;Otu376;1662
Cercomonadida;Cercomonadidae;Cercomonas;Otu377;1652
Cercomonadida;Cercomonadidae;Cercomonas;Otu378;1641
Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX;Otu379;1636
Cryomonadida;Rhogostomidae;Rhogostomidae_X;Otu380;1635
Cercomonadida;Cercomonadidae;Cercomonadidae_X;Otu381;1635
Glissomonadida;Allapsidae;Allapsidae_X;Otu382;1634
Plasmodiophorida;S.nasturtii-lineage;Spongospora;Otu383;1619
Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX;Otu384;1618
Filosa-Thecofilosea_X;Filosa-Thecofilosea_XX;Filosa-Thecofilosea_XXX;Otu385;1609
Cercomonadida;Cercomonadidae;Cercomonas;Otu386;1607
Euglyphida;Euglyphida_X;Euglyphida_XX;Otu387;1604
Cercomonadida;Paracercomonadidae;Metabolomonas;Otu388;1601
Cercomonadida;Cercomonadidae;Eocercomonas;Otu389;1593
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu390;1593
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu391;1589
Cercomonadida;Cercomonadidae;Cercomonas;Otu392;1589
Cercomonadida;Cercomonadidae;Cercomonas;Otu393;1579
Glissomonadida;Sandonidae;Neoheteromita;Otu394;1568
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu395;1566
Cercomonadida;Cercomonadidae;Cercomonas;Otu396;1562
Thaumatomonadida;Thaumatomonadidae;Thaumatomonas;Otu397;1545
Glissomonadida;Sandonidae;Sandonidae_X;Otu398;1538
Cryomonadida;Rhogostomidae;Rhogostomidae_X;Otu399;1535
Filosa-Imbricatea_X;Filosa-Imbricatea_XX;Filosa-Imbricatea_XXX;Otu400;1535
Glissomonadida;Allapsidae;Group_Te;Otu401;1525
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu402;1523
Euglyphida;Euglyphida_X;Euglyphida_XX;Otu403;1513
Euglyphida;Trinematidae;Trinematidae_X;Otu404;1512
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu405;1512
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu406;1510
Glissomonadida;Allapsidae;Allantion;Otu407;1500
Glissomonadida;Allapsidae;Allapsidae_X;Otu408;1499
Cercomonadida;Cercomonadidae;Eocercomonas;Otu409;1496
Limnofilida;Limnofilidae;Limnofilidae_X;Otu410;1496
Filosa-Imbricatea_X;Trivalvulariida;Trivalvulariida_X;Otu411;1493
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu412;1489
Euglyphida;Euglyphida_X;Euglyphida_XX;Otu413;1486
Cercomonadida;Cercomonadidae;Cercomonas;Otu414;1478
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu415;1478
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu416;1476
Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX;Otu417;1466
Cercomonadida;Cercomonadidae;Eocercomonas;Otu418;1464
Glissomonadida;Glissomonadida_XX;Glissomonadida_XXX;Otu419;1454
Cercomonadida;Cercomonadidae;Cercomonas;Otu420;1453
Glissomonadida;Allapsidae;Group_Te;Otu421;1445
Glissomonadida;Sandonidae;Sandonidae_X;Otu422;1444
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu423;1441
Glissomonadida;Allapsidae;Allapsidae_X;Otu424;1438
Filosa-Thecofilosea_X;Mataza-lineage;Mataza-lineage_X;Otu425;1427
Glissomonadida;Allapsidae;Allapsidae_X;Otu426;1417
Cercozoa_X;Cercozoa_XX;Cercozoa_XXX;Otu427;1410
Cercomonadida;Cercomonadidae;Cercomonadidae_X;Otu428;1405
Cryomonadida;Rhogostomidae;Rhogostomidae_X;Otu429;1405
Euglyphida;Euglyphida_X;Euglyphida_XX;Otu430;1404
Spongomonadida;Spongomonadidae;Spongomonadidae_X;Otu431;1393
Glissomonadida;Allapsidae;Allapsidae_XXX;Otu432;1390
Limnofilida;Limnofilidae;Limnofilidae_X;Otu433;1387
Ventricleftida;CCW10-lineage;CCW10-lineage_X;Otu434;1376
Glissomonadida;Sandonidae;Bodomorpha;Otu435;1374
Glissomonadida;Allapsidae;Allapsidae_X;Otu436;1370
Filosa-Granofilosea_X;Novel-Gran-5;Novel-Gran-5_X;Otu437;1367
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu438;1363
Euglyphida;Euglyphida_X;Euglyphida_XX;Otu439;1358
Cercomonadida;Cercomonadidae;Cercomonadidae_X;Otu440;1354
Cryomonadida;Protaspididae;Protaspididae_X;Otu441;1349
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu442;1343
Glissomonadida;Allapsidae;Allapsidae_X;Otu443;1336
Glissomonadida;Allapsidae;Allapsidae_X;Otu444;1334
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu445;1328
Glissomonadida;Sandonidae;Sandonidae_X;Otu446;1325
Glissomonadida;Allapsidae;Allapsidae_X;Otu447;1325
Filosa-Thecofilosea_X;Mataza-lineage;Mataza-lineage_X;Otu448;1319
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu449;1310
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu450;1306
Glissomonadida;Bodomorphidae;Bodomorpha;Otu451;1304
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu452;1302
Glissomonadida;Allapsidae;Allapsidae_X;Otu453;1299
Cercomonadida;Cercomonadidae;Eocercomonas;Otu454;1298
Cryomonadida;Rhogostomidae;Rhogostomidae_X;Otu455;1298
Ventricleftida;Ventricleftida_X;Ventricleftida_XX;Otu456;1296
Cercomonadida;Cercomonadidae;Cercomonas;Otu457;1294
Glissomonadida;Bodomorphidae;Bodomorpha;Otu458;1294
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu459;1289
Cercomonadida;Cercomonadidae;Eocercomonas;Otu460;1288
Glissomonadida;Clade-Y;Clade-Y_X;Otu461;1286
Glissomonadida;Allapsidae;Allapsidae_X;Otu462;1284
Filosa-Imbricatea_X;Filosa-Imbricatea_XX;Filosa-Imbricatea_XXX;Otu463;1284
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu464;1283
Glissomonadida;Glissomonadida_X;Glissomonadida_XX;Otu465;1277
Cercozoa_XX;Cercozoa_XXX;Cercozoa_XXXX;Otu466;1271
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu467;1267
Filosa-Thecofilosea_X;Filosa-Thecofilosea_XX;Filosa-Thecofilosea_XXX;Otu468;1265
Filosa-Sarcomonadea_X;Filosa-Sarcomonadea_XX;Filosa-Sarcomonadea_XXX;Otu469;1263
Limnofilida;Limnofilidae;Limnofila;Otu470;1255
Cercomonadida;Paracercomonadidae;Paracercomonas;Otu471;1254
Cryomonadida;Rhogostomidae;Rhogostomidae_X;Otu472;1249
